model_size,representation,architecture,stage,parameters,final_train_action_mse_normalized,final_validation_action_mse_normalized,test_decoded_normalized_mse,test_decoded_physical_mse,test_decoded_physical_mae,test_decoded_physical_rmse,test_joint_physical_mse,test_gripper_physical_mse,encoded_control_mse,token_accuracy,boundary_physical_mse,velocity_p95_physical_per_s,acceleration_p95_physical_per_s2,sampling_p50_ms,sampling_p95_ms,sampling_p99_ms,online_vision_p50_ms,projector_state_p50_ms,action_decode_p50_ms,estimated_online_pipeline_p50_ms,peak_memory_bytes,delay_mean_physical_mse_d0_d10,delay_d10_physical_mse,checkpoint_sha256,checkpoint,wandb_url,joint_legacy_cached_p50_ms,joint_fused_cache_speedup_percent,joint_legacy_vs_fused_tokens_equal,joint_legacy_vs_fused_max_token_difference
DiT-S,bspline,discrete_joint,base,13818240,0.0010353074176236987,0.010927464094493189,0.05120839551091194,0.015798643231391907,0.06266114860773087,0.12569265067577362,0.009550471402083835,0.053287655115127563,0.049123797565698624,0.17832963647209402,0.0019181477837264538,0.8943446874618519,10.559151268005369,78.47630546893924,78.66538646630943,78.9966511935927,10.70690795313567,0.11623394675552845,0.01889956183731556,89.31834693066776,3045876736,0.011535702442581003,0.012538690119981766,2a0f8091c81d257856eae10d17d47eff8ddbe3370300cac25b228f3781f222bc,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/discrete_joint_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/0q4g7cq4,84.76171304937452,7.415385265720108,True,0
DiT-S,bspline,discrete_joint,ttrtc,13818240,7.13511326466687e-05,0.013666284043210908,0.06051623448729515,0.018497275188565254,0.06686406582593918,0.13600468635559082,0.009638228880551955,0.07165154069662094,0.056784987449645996,0.1692110338277282,0.0037599457427859306,0.845024585723877,9.963177967071525,79.84217640478164,80.01477564685047,80.1613207347691,10.727673070505261,0.11631345842033625,0.019554398022592068,90.70571733172983,3045876736,0.013129952786998316,0.015685101971030235,e026370cbcbb6744e32f7d7fee5f2cf1c9aa60dc7dc91af8d02dc0d8dd8543cc,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_s/bspline/checkpoints/discrete_joint_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/340xpp9a,85.88156756013632,7.032232092323831,True,0
DiT-B,raw,fm,base,108058119,0.0009522330365143716,0.025668903857877012,0.036716680973768234,0.01082832831889391,0.04198748990893364,0.10405925661325455,0.004534265763747196,0.048592712730169296,0.036716680973768234,,0.0013829763047397137,0.7045561373233791,8.82607650756836,28.835047967731953,28.873699461109936,28.909052689559772,10.703338892199099,0.11696689762175083,0.0036400742828845978,39.65899383183569,3427511808,0.007987441918389364,0.008905390277504921,59480b3d2bf830947f7ca145b2d6677e2e1e580a1a9abe8447e9f3e7a5b4646a,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/fm_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/op6lpqi3,,,,
DiT-B,raw,fm,ttrtc,108058119,0.0003830712230410427,0.025613394245738164,0.03663193807005882,0.011001911014318466,0.04586069658398628,0.10488999634981155,0.004889502772130072,0.04767635837197304,0.03663193807005882,,0.002152139786630869,0.7065312623977653,10.850868654251098,28.80050498060882,29.246882535517216,31.12275058170781,10.717619443312287,0.11678214650601149,0.003689900040626526,39.638596470467746,3427511808,0.007943269246342506,0.008907334879040718,de187fa53a5c51e22d5296aca17d5f622c10bde234da836f8c27145968b51149,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/fm_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/duznrj8t,,,,
DiT-B,raw,discrete_layerwise,base,107392512,0.5269094705581665,0.5175689039751887,0.49172359704971313,0.21971185505390167,0.37548109889030457,0.4687343239784241,0.2131144174685081,0.2592966854572296,0.49172359704971313,0.003468691230758515,0.22464619576931,0.0,0.0,28.460728004574776,28.507653099950403,28.559638352599002,10.721356025896966,0.11728203389793634,0.003594905138015747,39.302960969507694,3425373184,0.28623422438448126,0.2851894497871399,7fac744844f4b7d865e5e3b0b2bb6e59b260ee58baf1f2d83c2bf9fbe197356a,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/discrete_layerwise_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/o2g40xq8,,,,
DiT-B,raw,discrete_layerwise,ttrtc,107392512,0.47236576676368713,0.5157025018706918,0.4917151927947998,0.21970237791538239,0.37547579407691956,0.46872419118881226,0.21310337570806345,0.2592966854572296,0.4917151927947998,0.0034671433988840133,0.22464619576931,0.0,0.0,28.53472693823278,28.571923496201634,28.68766250321643,10.745695442892611,0.1172070624306798,0.0036794226616621017,39.40130886621773,3425373184,0.28623307022181427,0.2851872444152832,35ffb57856657c89b29745b3f01c822a6d4e964e18b1f7edd0e1870dea0220fa,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/discrete_layerwise_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/ajt8p9vs,,,,
DiT-B,raw,discrete_joint,base,102682368,0.00891710165888071,0.03296893505466869,0.14679081737995148,0.07542820274829865,0.13933508098125458,0.2746419608592987,0.07337229574720065,0.08776365220546722,0.14679081737995148,0.17238667935888805,0.03855568543076515,6.151444435119629,336.9921875,237.32697637751698,237.52789106220007,237.5705889496021,11.033905087970197,0.15162304043769836,0.0033299438655376434,248.51583444979042,3410135552,0.07462834837761792,0.0861406996846199,10a2c9eaf0c0d0da41f146221abd7d39942a2dfee6e004e2625d394727b5526c,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/discrete_joint_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/x9qrzmwd,250.59396401047707,5.2942167563163665,True,0
DiT-B,raw,discrete_joint,ttrtc,102682368,0.023193398490548134,0.03653867990942672,0.19249559938907623,0.0606144517660141,0.13201779127120972,0.24620002508163452,0.029335372460385162,0.24828892946243286,0.19249559938907623,0.13596155185623737,0.06195194274187088,3.788391351699829,179.7031707763672,233.77852537669241,233.93400474451482,234.00285287527367,11.179168126545846,0.12508791405707598,0.0033499673008918762,245.08613138459623,3410135552,0.0633346326649189,0.06348752230405807,f6ef22b79382d464ecdb069b94b0cf8d07b9b3a8e4bc789f55bd0af361229940,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/raw/checkpoints/discrete_joint_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/1hux9mwd,261.58224348910153,10.629054075517752,True,0
DiT-B,bspline,fm,base,108048903,0.0006965543143451214,0.027097747770312708,0.03845490142703056,0.011325856670737267,0.04317369684576988,0.10642300546169281,0.004601728054694831,0.051670629531145096,0.03969981148838997,,0.0011196826817467809,0.7122126817703243,3.424966335296631,30.191283440217376,30.21743455901742,30.23036932805553,10.714535950683057,0.11766795068979263,0.02052891068160534,41.04401625227183,3427477504,0.007002750326963988,0.007199631538242102,340951daece1369c97a5a8c4e5f605fca41b5dca5138ed58351ce73471a11897,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/bspline/checkpoints/fm_base.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-50k-bs32-basic/runs/0c77dslj,,,,
DiT-B,bspline,fm,ttrtc,108048903,0.0006673590978607535,0.02992948779137805,0.03930792585015297,0.012070809490978718,0.05199027061462402,0.10986723750829697,0.005694224537971119,0.05033031851053238,0.040692564100027084,,0.002293164609000087,0.684327900409697,4.650674366950987,30.18960601184517,30.74365280335769,32.726063174195595,10.678307036869228,0.11778203770518303,0.020440085791051388,41.006135172210634,3427477504,0.007476169996979562,0.007774035912007093,6215dfaaed5288b06a1c77181d87e609fb816a5161612fc1caf157ecc8c7d8ac,/scratch/wangpc/B-Spline-Inpainting/robot_policy/outputs/SWEEP/dit_b/bspline/checkpoints/fm_ttrtc.pt,https://wandb.ai/401910710-university-of-california-berkeley/robot-policy-5k-bs32-ttRTC/runs/25fzgt8t,,,,
